,norm,norm,norm,norm,norm,norm,norm,norm,norm,norm,anomaly,anomaly,anomaly
35,0.029379742,0.014203467,0.012445943,0.022018524,0.015187984,0.009457981,0.015054202,0.020930281,0.016751541,0.006316663,0.017196944,0.015682055,0.022782119
36,0.028656069,0.015388548,0.012404761,0.022431834,0.015202258,0.013462766,0.014870831,0.020771122,0.016827634,0.007155875,0.018305641,0.015352893,0.020956563
37,0.027309312,0.01486244,0.011754596,0.021944972,0.0153124,0.011801493,0.015574539,0.021499237,0.017421821,0.006911158,0.018658085,0.01551553,0.020230671
38,0.027291978,0.014689815,0.011571572,0.021845935,0.015342713,0.014178026,0.015118965,0.021019252,0.017621052,0.006163861,0.017553292,0.014990842,0.020033
39,0.028737202,0.016143933,0.01113614,0.022440596,0.014850642,0.015192614,0.015176264,0.021563616,0.018253386,0.006461882,0.015416002,0.015448232,0.020311244
40,0.028488856,0.018230045,0.010153966,0.02190786,0.014315323,0.012924842,0.014901138,0.021940967,0.017424671,0.006513449,0.015189871,0.016772481,0.019131834
41,0.028403748,0.018474614,0.010248818,0.022912588,0.014446592,0.014284429,0.01573782,0.021228934,0.018432889,0.005726219,0.014579258,0.016306192,0.019898677
42,0.027390489,0.018059621,0.010045746,0.023239469,0.013923729,0.014173294,0.016243404,0.021514697,0.019578531,0.006167306,0.014432785,0.017405713,0.019902468
43,0.024994556,0.017944714,0.009022875,0.023908107,0.014075743,0.014378286,0.014800611,0.023354599,0.019290479,0.00498017,0.015159498,0.017871881,0.019234421
44,0.024670107,0.017521011,0.010130018,0.024339542,0.013147987,0.013980007,0.01572071,0.023139972,0.021047907,0.004983106,0.015372477,0.017760463,0.019141627
45,0.024150297,0.017459141,0.010454391,0.023985522,0.013208494,0.014179257,0.015267434,0.023923093,0.020846235,0.004031014,0.016152466,0.017974559,0.019347494
46,0.024268566,0.01675451,0.01094141,0.023983376,0.012549646,0.009980388,0.015510354,0.023828348,0.02198481,0.003282191,0.015909279,0.018310048,0.019803474
47,0.023439534,0.016829604,0.010843006,0.025028812,0.012585703,0.011066124,0.015118136,0.023390925,0.021236306,0.00319525,0.017169585,0.018050425,0.020063374
48,0.023768963,0.0170212,0.010050513,0.025014419,0.012255612,0.010261893,0.015324742,0.02451559,0.020967431,0.004331023,0.016972059,0.018224301,0.020693704
49,0.023825813,0.016599566,0.009352262,0.023639793,0.012424009,0.009496746,0.01591225,0.023960833,0.020410139,0.004191488,0.016745977,0.018902037,0.020305295
50,0.024908395,0.014729605,0.009374431,0.024073835,0.012073418,0.009791639,0.015811358,0.023410255,0.019155143,0.003865674,0.016727597,0.017965311,0.021285506
51,0.023913931,0.014281259,0.009114255,0.023048893,0.011960918,0.012432819,0.014762305,0.023519525,0.017407531,0.003541824,0.016182849,0.019104499,0.021127436
52,0.023832591,0.016514873,0.009873874,0.023502531,0.012481268,0.01292998,0.014171099,0.023257408,0.016765911,0.004361635,0.016635368,0.019838916,0.022840675
53,0.025042195,0.021172497,0.010282977,0.022584666,0.01242495,0.013722953,0.015234243,0.022790346,0.01624047,0.004778469,0.015979586,0.018730002,0.022925219
54,0.022026809,0.021561211,0.009118961,0.021543086,0.012394645,0.014224666,0.014211265,0.022212215,0.01550799,0.005082691,0.015946602,0.018940995,0.023158692
55,0.021437932,0.020948013,0.009568148,0.022400215,0.01249968,0.014077999,0.014567236,0.021735163,0.01500634,0.006686046,0.015683826,0.018299881,0.024193659
56,0.02194804,0.020048147,0.008925707,0.023103083,0.012733549,0.015205421,0.015827365,0.021222129,0.013783208,0.006576476,0.016061159,0.018119756,0.024460627
57,0.021711692,0.02065319,0.009359906,0.022564804,0.012646789,0.01549537,0.015824333,0.021649027,0.013914905,0.006642161,0.015941257,0.018888753,0.024406301
58,0.027230546,0.021535441,0.011188844,0.022124762,0.012945126,0.015883792,0.015509829,0.021068262,0.013590351,0.006731062,0.015964849,0.018484144,0.025430055
59,0.037576575,0.021844508,0.010427173,0.022749517,0.012725321,0.015988981,0.015388712,0.02173043,0.014485411,0.006728544,0.015814187,0.017519994,0.025884755
60,0.038689092,0.024472725,0.012757141,0.022491176,0.012621076,0.017163455,0.014992391,0.022103464,0.015101965,0.006140011,0.015755527,0.017232107,0.026781773
61,0.035527978,0.022356011,0.012925871,0.022531223,0.012263565,0.014062995,0.015515358,0.022524787,0.015692689,0.006182233,0.016214201,0.017661445,0.027211383
62,0.037082899,0.020194236,0.012802518,0.021781627,0.012168203,0.01399962,0.015709948,0.022207014,0.016357884,0.005916159,0.016640177,0.016026393,0.025267875
